country,year,freedom_status,freedom_score
Angola,2024,PF,59
Argentina,2024,F,71
Armenia,2024,F,74
Australia,2024,F,76
Azerbaijan,2024,NF,34
Bahrain,2024,NF,28
Bangladesh,2024,PF,40
Belarus,2024,NF,22
Brazil,2024,PF,65
Cambodia,2024,PF,43
Canada,2024,F,86
Chile,2024,F,86
China,2024,NF,9
Colombia,2024,PF,65
Costa Rica,2024,F,85
Cuba,2024,NF,20
Ecuador,2024,PF,63
Egypt,2024,NF,28
Estonia,2024,F,92
Ethiopia,2024,NF,27
France,2024,F,76
Georgia,2024,F,74
Germany,2024,F,77
Ghana,2024,PF,65
Hungary,2024,PF,69
Iceland,2024,F,94
India,2024,PF,50
Indonesia,2024,PF,49
Iran,2024,NF,12
Iraq,2024,PF,40
Italy,2024,F,75
Japan,2024,F,78
Jordan,2024,PF,47
Kazakhstan,2024,NF,34
Kenya,2024,PF,64
Kyrgyzstan,2024,PF,48
Lebanon,2024,PF,50
Libya,2024,PF,43
Malawi,2024,PF,59
Malaysia,2024,PF,60
Mexico,2024,PF,61
Morocco,2024,PF,54
Myanmar,2024,NF,9
Nicaragua,2024,PF,41
Nigeria,2024,PF,59
Pakistan,2024,NF,27
Philippines,2024,PF,60
Russia,2024,NF,20
Rwanda,2024,NF,36
Saudi Arabia,2024,NF,25
Serbia,2024,F,70
Singapore,2024,PF,53
South Africa,2024,F,74
South Korea,2024,PF,66
Sri Lanka,2024,PF,53
Sudan,2024,NF,28
Taiwan,2024,F,79
Thailand,2024,NF,39
The Gambia,2024,PF,56
The Netherlands,2024,F,83
Tunisia,2024,PF,60
Turkey,2024,NF,31
Uganda,2024,PF,53
Ukraine,2024,PF,59
United Arab Emirates,2024,NF,30
United Kingdom,2024,F,78
United States,2024,F,76
Uzbekistan,2024,NF,27
Venezuela,2024,NF,30
Vietnam,2024,NF,22
Zambia,2024,PF,62
Zimbabwe,2024,PF,48
